"Strike","Last","Chg","Bid","Ask","Vol","OI"
"AAPL171020C00050000",50,81.76,0,81.85,82.65,20,0
"AAPL171020C00055000",55,76.67,0,76.9,77.65,6,6
"AAPL171020C00065000",65,66.75,0,66.9,67.65,7,0
"AAPL171020C00070000",70,62.4,0,61.95,62.7,2,12
"AAPL171020C00080000",80,52.17,0,52.05,52.8,25,213
"AAPL171020C00085000",85,45.27,9.77,44.95,45.55,36,21
"AAPL171020C00090000",90,45.25,1.3400002,45.2,45.8,15,129
"AAPL171020C00095000",95,39.4,0,40.4,41,1,39
"AAPL171020C00100000",100,35.85,1.3899994,35.7,36.15,65,315
"AAPL171020C00105000",105,28.17,0,28.45,28.95,3,304
"AAPL171020C00110000",110,26.8,1.5,26.75,27.2,18,511
"AAPL171020C00115000",115,22.19,0.77000046,22.55,22.95,1,9112
"AAPL171020C00120000",120,18.88,1.2199993,18.8,18.95,50,5517
"AAPL171020C00125000",125,15.3,1.0799999,15.25,15.45,51,3559
"AAPL171020C00130000",130,12.22,1.0500002,12.15,12.3,222,6746
"AAPL171020C00135000",135,9.53,1.0799999,9.45,9.55,505,8308
"AAPL171020C00140000",140,7.15,0.8499999,7.1,7.25,2476,25357
"AAPL171020C00145000",145,5.28,0.71000004,5.25,5.35,936,15257
"AAPL171020C00150000",150,3.79,0.48000002,3.75,3.85,2781,8181
"AAPL171020C00155000",155,2.68,0.46000004,2.64,2.69,867,2257
"AAPL171020C00160000",160,1.82,0.30000007,1.83,1.86,222,1010
"AAPL171020C00165000",165,1.25,0.24000001,1.23,1.26,34,194
"AAPL171020C00170000",170,0.81,0.33,0.82,0.85,166,28
"AAPL171020C00175000",175,0.29,0,0.33,0.35,2,182
"AAPL171020C00180000",180,0.27,0,0.35,0.39,35,277
"AAPL171020C00185000",185,0.18,0,0.23,0.25,21,56
"AAPL171020C00190000",190,0.11,0,0.15,0.17,8,19
"AAPL171020C00195000",195,0.05,0,0.04,0.06,52,101
"AAPL171020C00200000",200,0.05,0,0.06,0.07,20,681
