"Strike","Last","Chg","Bid","Ask","Vol","OI"
"AAPL170421C00047500",47.5,84.69,0,84.45,85,55,0
"AAPL170421C00050000",50,81.35,0,82,82.5,5,0
"AAPL170421C00055000",55,76.6,0,77,77.5,20,10
"AAPL170421C00060000",60,71.6,0,72,72.5,20,0
"AAPL170421C00065000",65,46.9,0,69.8,70.35,256,0
"AAPL170421C00070000",70,61.95,0,62,62.55,40,3
"AAPL170421C00075000",75,57.15,0,57.05,57.55,50,1
"AAPL170421C00080000",80,52.47,0.75,52.05,52.55,10,109
"AAPL170421C00085000",85,47.55,0.79999924,47.1,47.6,3,4
"AAPL170421C00087500",87.5,44.68,0,44.6,45.1,30,0
"AAPL170421C00090000",90,43.93,0,45,45.4,15,165
"AAPL170421C00092500",92.5,39.4,0,39.6,40.15,600,3
"AAPL170421C00095000",95,39.55,0.6100006,40.05,40.45,1,95
"AAPL170421C00097500",97.5,37.58,3.130001,37.6,37.95,26,79
"AAPL170421C00100000",100,35,0.95000076,35.1,35.4,358,561
"AAPL170421C00105000",105,30.15,1.1499996,30.15,30.3,14,503
"AAPL170421C00110000",110,25.3,1.6700001,25.15,25.45,88,1135
"AAPL170421C00115000",115,20.4,1.3999996,20.25,20.55,109,5674
"AAPL170421C00120000",120,15.6,1.6000004,15.5,15.65,755,17978
"AAPL170421C00125000",125,11.1,1.5600004,10.9,11.1,1028,33414
"AAPL170421C00130000",130,7,1.31,6.95,7,3304,65888
"AAPL170421C00135000",135,3.85,0.8699999,3.8,3.9,11831,29392
"AAPL170421C00140000",140,1.83,0.51,1.82,1.84,6093,23345
"AAPL170421C00145000",145,0.78,0.21999997,0.79,0.8,2836,5753
"AAPL170421C00150000",150,0.33,0.10000001,0.33,0.34,874,2203
"AAPL170421C00155000",155,0.14,0.030000001,0.14,0.15,106,2409
"AAPL170421C00160000",160,0.06,0.009999998,0.06,0.07,188,6439
"AAPL170421C00165000",165,0.04,0.02,0.03,0.04,386,1174
"AAPL170421C00170000",170,0.02,0,0.01,0.04,29,258
"AAPL170421C00175000",175,0.01,0,0,0.01,63,28
"AAPL170421C00180000",180,0.01,0,0,0.05,1,1
"AAPL170421C00195000",195,0.05,0,0.01,0.02,1,1
"AAPL170421C00200000",200,0.02,-0.01,0,0.03,30,13
"AAPL170421C00210000",210,0.01,0,0,0.02,1,771
